uuid,cian_id,url,city,zone,district,street,house,description,floor_number,rooms_count,total_area,kitchen_area,living_area,agent_fee,deposit,price,build_year,total_floors,is_apartments,time_add
34fbd890-a75b-11ef-9564-168f5e928f4c,310233804,https://www.cian.ru/rent/flat/310233804/,Москва,САО,р-н Тимирязевский,улица Костякова,15,"Предлагается отличная квартира в пешей доступности от метро. Чистая, светлая, по - домашнему уютная квартира, укомплектованная всем необходимым. Окна во двор!  Изолированная спальня с выходом на балкон. В кухню проход через гостиную. Просторный холл, совмещенный санузел. 
Квартира свободна, готова к заселению . Оперативный показ ! Звоните!",5,2,45.0,5.0,33.0,50,75000,75000,1965,9,False,1732119379
47e53163-a71c-11ef-9564-168f5e928f4c,310194514,https://www.cian.ru/rent/flat/310194514/,Москва,САО,р-н Западное Дегунино,улица Летчика Осканова,6,"Новая, полностью меблированная и оборудованная квартира в современном жилом комплексе ""Тринити-2""!

Квартира находится в 5 минутах ходьбы от станции метро ""Верхние Лихоборы"". Это удобное расположение с точки зрения транспортной доступности как на автомобиле, так и на общественном транспорте.

В квартире сделан качественный ремонт с использованием современных материалов. Вы будете первым жильцом в этой новой квартире.

Планировка включает в себя просторную кухню-гостиную, разделенную на две функциональные зоны: кухню и зону отдыха с раскладным диваном. Кухня оборудована всей необходимой техникой: холодильником, посудомоечной машиной, вытяжкой, электрической плитой и духовым шкафом. Также есть обеденный стол и стулья.

Спальня/детская комната оборудована удобной кроватью с матрасом размером 1,6 м х 2 м, шкафом для одежды и прикроватными тумбочками.

В ванной комнате установлена стиральная машина, инсталляция, ванна и полотенцесушитель. Вся сантехника новая.

В квартире есть Wi-Fi роутер для подключения к интернету и телевидению.

Дом монолитный, современный, сдан в мае 2024 года. Территория комплекса огорожена и находится под круглосуточным видеонаблюдением. В здании 4 лифта, детские площадки, удобный выезд на Дмитровское шоссе. До центра Москвы можно добраться за 15-20 минут.
В шаговой доступности расположены кафе, рестораны, пекарни, магазины ""Пятерочка"" и другие объекты инфраструктуры, расположенные на первом этаже дома.

Стоимость аренды составляет 1 месяц + коммунальные платежи (около 3000 рублей), включая оплату электроэнергии, воды, отопления и интернета.

Мы рассматриваем только долгосрочную аренду. Звоните!",3,1,40.3,15.0,18.0,50,90000,90000,2024,33,False,1732092471
f0d61abd-a73f-11ef-9564-168f5e928f4c,310221218,https://www.cian.ru/rent/flat/310221218/,Москва,ЦАО,р-н Мещанский,Протопоповский переулок,17,"ПРЯМОЙ ПРЕДСТАВИТЕЛЬ СОБСТВЕННИКА! БОНУС БРОКЕРАМ!
Предлагается в аренду 2-х комнатная квартира в новом доме по адресу:  Протопоповский пер., 17С2, ЦАО, р-н Мещанский.
Функциональная планировка квартиры: гостиная, кухня, 1 изолированная спальня с гардеробной комнатой, 1 совмещенный с/у с ванной и душевой кабиной, гостевой с/у, прихожая. Есть застекленный балкон, окна выходят во двор. Квартира полностью меблирована и оснащена всей необходимой техникой для комфортного проживания. В каждой комнате установлены кондиционеры. Качественный ремонт.
Благоустроенная территория дома. В подъезде действует консьерж-сервис. Есть 1 машиноместо в подземном паркинг и стихийный наземный паркинг. Развитая инфраструктура района: многочисленные кафе и рестораны, магазины, медицинские учреждения, театр Вишневый сад, СК Олимпийский, аптеки, салоны красоты, банки, Аптекарский огород МГУ, сад Эрмитаж. Удобная транспортная доступность, быстрый выезд на Садовое кольцо (прямо из закрытого двора дома) и на Пр. Мира.",6,2,82.0,0.0,0.0,0,170000,170000,2004,12,False,1732107141
a5a7853c-a739-11ef-9564-168f5e928f4c,310214148,https://www.cian.ru/rent/flat/310214148/,Москва,САО,р-н Беговой,Северный ао,0,"Сдаются НОВЫЕ трехкомнатные апартаменты в уникальном жилом комплексе ЖК ""SLAVA"". Квартира наполнена всей необходимой техникой для комфортной жизни. Все вопросы обсуждаемы. 

В комнатах установлены дополнительный шкафы, которых не видно на фотографиях. Так же установлены телевизоры в каждой комнате! 

Проект премиум-класса в центре Москвы. Закрытая охраняемая территория. Развитая инфраструктура. В районе метро Белорусская.  Дополнительно можно рассмотреть аренду машиноместа!

По всем вопросам звоните! Оперативный показ!",10,3,85.9,6.0,68.0,50,0,500000,0,17,True,1732104307
22c84462-a744-11ef-9564-168f5e928f4c,310224639,https://www.cian.ru/rent/flat/310224639/,Москва,ЮВАО,р-н Нижегородский,Подъемная улица,14,"Арт. 82908042 Сдается в аренду уютная студия в тихом районе Москвы по адресу: Подъёмная улица, 14с25. Общая площадь квартиры составляет 31 кв. м, жилая — 25 кв. м. Студия расположена на втором этаже двухэтажного кирпичного дома, построенного в 1983 году. Окна выходят на улицу, что обеспечивает хорошее естественное освещение.

В квартире сделан косметический ремонт, все готово для комфортного проживания. Просторная жилая площадь позволяет удобно обустроить зону отдыха и рабочее пространство. Имеется совмещенный санузел и балкон, где можно наслаждаться свежим воздухом. 

Дом ухоженный, есть наземная парковка, что очень удобно для владельцев автомобилей. В шаговой доступности находятся школы, детские сады и магазины — все необходимое для комфортной жизни.

До станции метро ""Авиамоторная"" можно дойти пешком всего за 16 минут. Это позволяет легко добираться до центра города и других районов, обеспечивая удобную транспортную доступность.

Приглашаем вас на просмотр, чтобы лично оценить все преимущества этой квартиры. Звоните и записывайтесь на удобное для вас время!",2,0,31.0,0.0,25.0,100,70000,73500,0,4,True,1732109321
15fdb932-a718-11ef-9564-168f5e928f4c,310191797,https://www.cian.ru/rent/flat/310191797/,Москва,СЗАО,р-н Покровское-Стрешнево,Волоколамское шоссе,71,"На длительный срок сдается стильная и уютная 1 комнатная квартира. Укомплектована всей необходимой, современной мебелью и техникой. Фото соответствуют. Рассмотрим 1 человека или СП (семейную пару), маленькое животное обсуждается.",8,1,35.8,8.0,16.0,50,87000,87000,0,13,True,1732089881
1b95aec3-a703-11ef-9564-168f5e928f4c,310186368,https://www.cian.ru/rent/flat/310186368/,Москва,ЮВАО,р-н Нижегородский,Рязанский проспект,2,"Апартаменты с кухней в отеле IDERA. КРУГЛОСУТОЧНО. 1 Минута от метро. Всегда есть парковка. Звоните, приезжайте и живите. 
Все апартаменты свежие, только запустили в продажи. 
На стойке размещения получаете кассовый чек и отчетные документы! Никаких агентов и посредников, комиссий и прочего.

!Двухместное размещение! Возможность заселить ребенка от 0-6 без предоставления места. 

Все нижеперечисленное входит в стоимость:
- Полностью оснащенные апартаменты с кухней.
Все необходимое: Интернет Wi-Fi, Смарт ТВ, Яндекс станция ""Алиса"", кухонная утварь (ложки, вилки, тарелки, стаканы, бокалы, чашки, кастрюли, сковородки, терка и прочее), фильтр для воды, чай, кофе, чайная станция, чайник, индукционная плита.
- Полотенца, умывальные принадлежности с ежедневным пополнением.
- Ежедневная уборка номера.
- Замена постельного белья каждые 3 дня.
- Ванне: Душевая кабина с тропическим душем, туалет-инсталляция, гигиенический душ, полотенцесушитель.

За дополнительную плату есть возможность установить стиральную машину, а также есть услуги прачечной и заказа завтрака.",8,1,22.0,5.0,17.0,0,1,110000,0,10,True,1732081578
d55b41d1-a7e9-11ef-9564-168f5e928f4c,310259653,https://www.cian.ru/rent/flat/310259653/,Москва,ЦАО,р-н Пресненский,Шелепихинское шоссе,19,"Предлагается в аренду уютная и комфортная квартира.
Все параметры и фотографии соответствуют действительности.
Квартира готова к заселению - есть всё необходимое для полноценного проживания!

Оперативный показ в удобное время. Никаких предоплат - всё честно и прозрачно!

Любые вопросы можете задать нашему брокеру по телефону в объявлении!
Эта квартира ждет Вас!",8,3,76.0,9.0,42.0,50,137000,137000,0,17,False,1732180138
8a49f0c3-a7e3-11ef-9564-168f5e928f4c,310257525,https://www.cian.ru/rent/flat/310257525/,Москва,САО,р-н Бескудниковский,Дмитровское шоссе,88,"Предлагается 1-комнатная квартира общей площадью 18 м² недалеко от станции метро ""Селигерская"". Высокие потолки увеличивают пространство, наполняя его светом. Для комфортного проживания в наличии имеется вся необходимая мебель. Подключена стиральная машина. Окна обращены на улицу.

 - Можно с детьми и животными.
 - Объект представляет агент Capital Mars - Роман.
 - ID объекта 632958.",3,1,18.0,4.0,9.0,25,45000,45000,1966,3,False,1732177684
715b134b-a7e1-11ef-9564-168f5e928f4c,310257145,https://www.cian.ru/rent/flat/310257145/,Москва,ЗАО,р-н Можайский,Можайское шоссе,45,"Большая просторная квартира с 2-мя санузлами, комнаты 15 с выходом на лоджию и 13 метров, требует ремонта. Рассмотрим семью или бригаду честных работяг не более 5-ти человек.",1,2,80.0,13.0,28.0,50,70000,70000,2006,18,False,1732176800
