cian_id,time_add,description,floor_number,rooms_count,total_area,url,city,zone,district,street,house,agent_fee,deposit,price,build_year,total_floors,is_apartments,kitchen_area,living_area,metro_1,transport_type_1,time_1,metro_2,transport_type_2,time_2,metro_3,transport_type_3,time_3
309851811,1731484618,"Сдается однокомнатная квартира в 10 минутах ходьбы от метро Дубровка.
Есть вся необходимая мебель для комфортного проживания. Заселим до 2  взрослых человек. У собственника могут быть дополнительные пожелания к арендаторам. Оперативный показ. Квартира готова к заселению. Звоните по телефону по объявлению.",2,1,37.7,https://www.cian.ru/rent/flat/309851811/,Москва,ЮВАО,р-н Южнопортовый,Новоостаповская улица,6,50,65000,65000,1952,8,False,7.0,0.0,Дубровка,walk,9,Волгоградский проспект,walk,18.0,Автозаводская,walk,19.0
309854595,1731487822,"Лот 123780. Регина Янишевская.

ЖК Мосфильмовский. Отличная 2-комнатная квартира в новом современном доме. 8 / 21 этаж. Спален: 1, санузлов: 1. Общая площадь: 48 кв.м. Потолки 3,1 м. Гардеробная комната. Кухня-гостиная, кабинет.

Ремонт в современном стиле. Квартира с мебелью, вывоз невозможен. Огороженная, охраняемая территория. Подземный паркинг, машиноместо оплачивается отдельно. Окна на улицу.  В наличии: посудомоечная машина, холодильник, кондиционер, бойлер, ванна, стиральная машина, подогрев полов. Телевизор, высокоскоростной интернет. 

Заезд возможен с 25 ноября.

Есть презентации в pdf на русском или английском для партнеров.",8,2,48.0,https://www.cian.ru/rent/flat/309854595/,Москва,ЗАО,р-н Раменки,Мосфильмовская улица,88,50,180000,180000,0,21,False,10.0,25.0,Раменки,walk,9,Ломоносовский проспект,walk,20.0,Матвеевская,transport,4.0
309810015,1731413107,"По всем вопросам звонить 24/7, для более быстрой связи напишите информацию о себе и свои контакты для связи. 
Предлагается уютная двухкомнатная квартира, комнаты смежные. Вся техника и мебель для комфортного проживания имеется. Развитая инфраструктура, рядом магазины необходимые для жизни, садики и школы. Метро в пешей доступности. Квартира готова к заселению, заезжай и живи.",1,2,39.0,https://www.cian.ru/rent/flat/309810015/,Москва,ЮВАО,р-н Люблино,Совхозная улица,18,80,55000,55000,1970,9,False,7.0,0.0,Люблино,walk,3,Волжская,walk,18.0,Люблино,transport,4.0
309834688,1731439079,"Один приятный и адекватный собственник. Сдается официально (с уплатой налога), рассмотрим договор с юр.лицом.

Чистая и теплая. Большая комната с кондиционером соединена с кухней, помимо жилой комнаты может выполнять функции гостиной и столовой. Двуспальный раскладной ортопедический диван.
В изолированной комнате постель 120х200 и рабочее место. Предоставляется новый матрас. Множество мест для хранения, включая кладовую-гардеробную. 
Оборудование для подключения интернета уже установлено. Кв. подключена к охранной системе.

Проживание с домашними животными согласовывается индивидуально под ответственность владельца питомца.

Парковка свободная, во дворе. Живописный район с давно сложившейся инфраструктурой. Остановка наземного транспорта - 1 минута. Метро Народное Ополчение - 8 минут. Рядом набережная, парки. Серебряный бор в 3 километрах от дома.

Дом реализуется по программе реновации, но снос не скоро, минимум через 2 года.",1,2,45.5,https://www.cian.ru/rent/flat/309834688/,Москва,СЗАО,р-н Хорошево-Мневники,улица Народного Ополчения,12,50,62000,62000,1960,5,False,6.3,30.1,Народное Ополчение,walk,8,,,,,,
309820297,1731430224,"Сдаётся просторная трёхкомнатная квартира в Москве по адресу: Ботаническая улица, 17к1. Квартира находится на 16 этаже 17-этажного дома, построенного в 2009 году. Общая площадь — 80 кв. м. Высота потолков составляет 2.8 метра, что создаёт ощущение простора. В квартире два отдельных санузла, окна выходят на парк Останкино и ботанический сад, так и во двор, поэтому обеспечивается оптимальное естественное освещение.

Квартира с дизайнерским ремонтом, полностью меблирована и готова к заселению. В комнате и на кухне есть всё необходимое для комфортного проживания. Из техники в вашем распоряжении кондиционеры Mitsubishi Electric,  встроенный холодильник и морозильник фирмы Liebherr,  телевизоры, посудомоечная машина Bosch^  стиральная машина и сушильная машина фирмы Miele.  В ванной комнате установлена бойлер и  угловая двухместная ванна, что добавляет комфорт в ежедневный быт. Также есть две лоджии с ремонтом для отдыха и хранения.

Дом в хорошем состоянии, оборудован пассажирским и грузовым лифтами, а также мусоропроводом, поэтому можно не беспокоиться о выносе мусора. Наземная парковка обеспечивает удобное место для вашего автомобиля (можно арендовать места). В доме стабильное интернет-соединение и телефонная связь. На входе в подъезд, есть строгий контроль и охрана. 

Район развитый и удобный для жизни. В шаговой доступности расположены школы, детские сады и магазины, поэтому все необходимые учреждения находятся рядом. Хорошая транспортная доступность позволяет быстро добраться до любой точки города. Рядом метро Фонвизинская, пешком 7 минут.
Условия аренды:  Подходит для долгосрочного проживания. Предоплата и залог обсуждаются индивидуально. Квартира идеально подойдёт для семьи или группы из нескольких человек, желающих жить в комфортных условиях, не курящих и без животных, соблюдающих чистоту и порядок. 
Приглашаем вас на просмотр этой замечательной квартиры. Записывайтесь заранее, чтобы не упустить шанс арендовать жильё своей мечты!",16,3,76.1,https://www.cian.ru/rent/flat/309820297/,Москва,СВАО,р-н Марфино,Ботаническая улица,17,0,142000,142000,2009,17,False,0.0,0.0,Улица Милашенкова,walk,13,Останкино,walk,13.0,Фонвизинская,walk,14.0
309884002,1731511325,"Код объекта: 1308491.
Сдается прекрасная 2-комнатная квартира в долгосрочную аренду!
У квартиры прекрасная локация -центр Москвы. 
Квартира расположена на 9 этаже 14 -этажного кирпичного дома, 1996 года постройки. Высота потолков составляет 3 метра.
-Общая площадь квартиры 57,3 кв.м
-Гостиная, спальня
-Лоджия
-Санузел раздельный, в ванной душевая кабина.
Квартира оснащена всем необходимым для комфортного проживания. В комнатах и на кухне есть мебель, а также вся необходимая бытовая техника: варочная панель, холодильник, духовой шкаф, стиральная машина, кондиционер. Для хранения вещей/одежды- в коридоре два шкафа, в гостиной один шкаф. 
Дом оборудован двумя лифтами (грузовой и пассажирский).
Двор обустроен парковочными местами для жителей. У дома имеется закрытая парковка.
Из окна прекрасный вид на Новоспасский ставропигиальный мужской монастырь.
В шаговой доступности: школа, детский садик, магазины.",9,2,57.3,https://www.cian.ru/rent/flat/309884002/,Москва,ЦАО,р-н Таганский,улица Малые Каменщики,4,50,120000,120000,1996,14,False,10.0,40.0,Таганская,walk,6,Марксистская,walk,10.0,Пролетарская,walk,14.0
309850129,1731482424,"Предлагается в аренду 1 комнатная квартира в кирпичном доме по адресу: Стрельбищенский пер.д.24.  Общая пл. 38. Комната жилая 23. Кухня 8. Санузел раздельный, ванна.  Квартира после косметического ремонта. Высокие потолки  3.20. Квартира светлая. Газовая колонка. Окна ПВХ. Балкон застеклен. Мебель и бытовая техника. Спальное место купят под клиента новое. Развита инфрастуктура: в пешей доступности магазины, аптеки, кафе, школы,парк Красногвардейские пруды. Предложение для клиентов без домашних животных.",3,1,38.0,https://www.cian.ru/rent/flat/309850129/,Москва,ЦАО,р-н Пресненский,Стрельбищенский переулок,24,50,80000,80000,1951,5,False,8.0,23.0,Шелепиха,walk,20,Москва-Сити,walk,16.0,Шелепиха,walk,18.0
309792639,1731390598,"Арт. 80871448 
Василий
Седьмое небо - агентство недвижимости


Сдается светлая, теплая и уютная квартира на длительный срок.
Квартира просторная, не загроможденная избыточной мебелью, со всем необходимым для проживания.
Шкаф, Диван-кровать, Встроенная кухня, Холодильник, Стол обеденный.
Застекленный балкон.


Тихий, спокойный район. Нет шума больших дорог - при непосредственной близости к Ленинградскому ш. 
Много мест для культурного досуга: 8 минут до парка Усадьба Михалково с Головинскими прудами (супер место для прогулок); 20 минут пешком до природно-исторического парка Покровское-Стрешнево; Также рядом бесплатный пляж Динамо с белым песком и прозрачной водой - в 2023г. разрешено купание.

Рядом - Пятерочка, Магнит, ВВ, ПВЗ WB и OZ.


Удобная транспортная доступность:
- 20 минут пешком до ст. м Водный Стадион или Балтийская (сейчас убирают промзону, и будет прямая дорога до метро, не в обход - станет 10-12 минут.)

Рассмотрим различные составы - семейную пару РФ, или одного человека, можно с ребенком.
У собственника есть дополнительные пожелания к арендатору (уточните по телефону)
Без животных.


Квартира свободна и готова к заселению.
Показ по договоренности - Звоните!",17,1,38.0,https://www.cian.ru/rent/flat/309792639/,Москва,САО,р-н Войковский,Нарвская улица,1,75,67000,67000,0,17,False,7.5,18.0,Водный стадион,transport,4,Коптево,transport,5.0,Балтийская,transport,6.0
309883967,1731508491,"Квартира освободится 18.11.2024


Сдаётся современная студия площадью 25 кв. м на 2 этаже 24-этажного монолитного дома, построенного в 2019 году. Высокие потолки 2.8 метра создают дополнительное ощущение пространства, а окна выходят во двор, что обеспечивает тишину и комфорт.

В квартире выполнен качественный евроремонт, что делает её стильной и уютной. Есть вся необходимая мебель как на кухне, так и в комнате, поэтому вам не придётся заботиться о дополнительной обстановке. На кухне достаточно места для приготовления и приёма пищи, площадь составляет 3 кв. м. Ванная комната оснащена душевой кабиной.

Дом современный и безопасный, имеет три пассажирских лифта. Предусмотрена наземная парковка, поэтому с местом для автомобиля не возникнет проблем. В доме подключен интернет, что позволит вам оставаться на связи и работать удалённо.

Инфраструктура района порадует разнообразием и доступностью. Магазины и другие объекты, необходимые для комфортной жизни, также в шаговой доступности. Удобное транспортное сообщение позволит быстро добраться до любой точки города.",2,0,25.0,https://www.cian.ru/rent/flat/309883967/,Москва,САО,р-н Дмитровский,Дмитровское шоссе,107,50,57999,57999,2019,24,False,3.0,13.0,Яхромская,walk,3,Селигерская,walk,18.0,Бескудниково,transport,4.0
309882624,1731506726,"Дарим стильный подарок от нас при заселении :) 
Обеспечим индивидуальный подход и предоставим лучший сервис по взаимодействию и сопровождению, встреча исключительно на квартире в присутствии собственника.

Вашему вниманию предлагается Просторная квартира с Премиальной отделкой в ЖК Премиум-класса ""Прайм Парк"". Аналогов НЕ найдете - это однозначно Л У Ч Ш Е Е предложение! 

Выполнен дорогостоящий евроремонт, с использованием высококачественных экологичных материалов. Дизайнерская отделка, мебель от лучших производителей и стильные предметы интерьера создают уютную, расслабляющую атмосферу. Всё продумано до мелочей, ремонт делался с любовью

Все для комфортнoй жизни высoкогo уровня. Кухонная зона оборудована всей необходимой встраиваемой техникой, включая посудомоечную машину

Премиальные лобби, консьерж сервис 24/7 включающим Химчистку, круглосуточную уборку квартиры, Няня, Догситтер ( сотрудник на которого можно оставить домашних питомцев ), подчеркивает премиальность, обеспечивает безопасность, комфорт и внутреннее удовлетворение
На территории предусмотрен приватный оздоровительный центр с фитнес-клубом, 25-ти метровым бассейном, SРА-зоной и сауной, а также более 9 кафе и ресторанов, аптека, супермаркет, стоматология и службы быта.
Наличие сервисного входа для персонала позволяет разделить трафик, сохраняя приватную атмосферу в лобби. valet-парковщики открывают дверь автомобиля и отвозят его на подземный паркинг, беллмены открывают двери при входе в башню и помогают донести вещи до квартиры, интеллектуальная система (а также сам ресепшн) обеспечивает бесконтактный вызов лифта. Частный закрытый парк эксклюзивно для резидентов.
Общее парковое пространство квартала  5,5 га, Из них 3 гектара выделено на частный парк с авторскими арт-объектами, фонтанами, цветниками и прогулочными аллеями. Для детей разных возрастов будут построены 3 игровые площадки площадью (территорию увеличат до 8га) от 170 до 400 кв. метров, включая крупный лазательный комплекс в современном стиле, также имеется воркаут-зона и шезлонги, создается гармоничное сочетание жизни на природе со всеми преимуществами мегаполиса

Звоните, уважаемые арендаторы, ответим на все ваши вопросы, расскажем подробнее, организуем оперативный показ, вживую квартира не оставит равнодушным!",4,2,72.0,https://www.cian.ru/rent/flat/309882624/,Москва,САО,р-н Хорошевский,Ленинградский проспект,37,50,330000,330000,2021,41,False,20.0,50.0,ЦСКА,walk,11,Аэропорт,walk,13.0,Петровский Парк,walk,17.0
